track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
Romford,1113.0,19212,1093.0852601961933,-247.81455317235728,-192.54648971956408,189.0,3818,30.068324615411,-247.81455317235728,-192.54648971956408,924.0,15394,1063.0169355807825,-185.19929972,-154.81819191,1,1,1032.9486109653715
Towcester,1063.0,14127,1144.3983055421786,-341.33048748,-111.82963659000006,151.0,2325,254.9121840781214,-92.94322216775655,-91.30410892828488,912.0,11802,889.4861214640572,-341.33048748,-111.82963659000006,1,1,634.5739373859358
Yarmouth,681.0,9658,581.4987742213443,-217.04462122659794,-133.64588267717238,108.0,1665,-47.058016933444776,-145.9053342883114,-127.94443985654796,573.0,7993,628.5567911547892,-217.04462122659788,-133.64588267717235,1,0,675.614808088234
Richmond (AUS),801.0,12603,261.2336367773762,-466.4233657900003,-154.62733697829535,97.0,1598,-269.2409482927667,-285.05295846209646,-154.62733697829535,704.0,11005,530.474585070143,-466.4233657899999,-140.10219969000002,1,0,799.7155333629097
Hove,1899.0,28985,894.5698295872853,-431.82932272335034,-199.5126540647451,975.0,15811,514.4306977520336,-412.0666577037003,-133.80377589207401,924.0,13174,380.1391318352519,-259.77235892405747,-199.51265406474513,1,1,-134.29156591678168
Casino (AUS),304.0,5093,237.65963545336132,-147.4125684,-98.08317393969004,25.0,439,-104.88701080500567,-112.38701080500567,-98.08317393969004,279.0,4654,342.54664625836693,-147.41256840000005,-92.19284700000003,1,0,447.4336570633726
Angle Park (AUS),669.0,8235,395.52488017975475,-224.88432384000015,-142.10320168000004,52.0,702,70.68206717635425,-41.069708578883414,-5.657728768313184,617.0,7533,324.8428130034006,-224.88432384000006,-142.10320168,1,1,254.16074582704633
Suffolk Downs,420.0,5390,310.42921485441775,-162.45091642603956,-98.1862254,,0,,,,420.0,5390,310.42921485441775,-162.45091642603956,-98.1862254,1,0,310.42921485441775
Geelong (AUS),499.0,8772,110.39799927472299,-311.29188754999996,-194.7824381721474,59.0,1003,-191.26930650326827,-249.66406381874674,-138.99727359221654,440.0,7769,301.6673057779914,-311.29188755,-194.78243817214738,1,0,492.9366122812596
Townsville (AUS),428.0,7512,455.3358386170281,-220.47873540303297,-162.98218061999995,55.0,915,194.67651658006102,-109.17531450082272,-109.17531450082272,373.0,6597,260.65932203696696,-211.43224369999996,-162.98218061999995,1,1,65.98280545690594
Temora (AUS),205.0,3315,246.54933779977102,-141.6924364900001,-80.32567666000003,19.0,259,-12.008064025194553,-33.52248689439294,-12.008064025194553,186.0,3056,258.5574018249656,-141.6924364900001,-80.32567666000003,1,0,270.56546585016014
Sale (AUS),581.0,10064,592.6899455012026,-194.62920765450758,-147.26602778999995,316.0,5405,334.31821794246173,-194.62920765450758,-110.67793634570344,265.0,4659,258.3717275587409,-174.64851437000004,-147.26602779,1,1,-75.94649038372086
Manawatu (NZL),338.0,4696,326.49444061231065,-145.49234081000003,-102.50532282,41.0,657,77.38603849617718,-62.41090204705513,-3.762142492373357,297.0,4039,249.10840211613348,-145.49234081000006,-102.50532282000003,1,1,171.7223636199563
Gosford (AUS),253.0,3886,324.57211887112004,-168.67402849999996,-100.75105782999998,32.0,498,91.42731263626804,-51.932236592035125,48.073037252175595,221.0,3388,233.14480623485196,-168.6740285,-100.75105783000001,1,1,141.71749359858393
Taree (AUS),176.0,2704,214.36392445426492,-106.29120133198049,-83.85479123275411,14.0,265,-11.904516135225437,-32.97235963746149,-11.904516135225437,162.0,2439,226.26844058949035,-106.29120133198049,-83.8547912327541,1,0,238.1729567247158
Swindon,964.0,13859,349.8154371480028,-455.03505702135175,-155.0065333327831,184.0,2845,129.3572551572906,-202.83740432560398,-155.0065333327831,780.0,11014,220.45818199071215,-382.05771379933975,-121.08177641769458,1,1,91.10092683342154
The Gardens (AUS),472.0,8522,144.5621316980773,-240.74265429,-136.7999106,53.0,943,-66.85379480660251,-171.34583478296577,-119.31809043317597,419.0,7579,211.4159265046798,-240.74265429000005,-136.79991059999998,1,0,278.2697213112823
Wentworth Park (AUS),406.0,5915,211.0069981070024,-241.73051456983308,-131.19833406099184,27.0,429,16.586149256999967,-77.21678885943402,15.338567714957273,379.0,5486,194.42084885000247,-241.73051456983308,-131.19833406099184,1,1,177.8346995930025
Ascot Park (NZL),221.0,3175,174.76178106788421,-115.97971912,-109.32503309,23.0,298,5.823314074434359,-71.87177111346045,-22.751200508495174,198.0,2877,168.93846699344982,-115.97971912,-109.32503309,1,1,163.11515291901546
Gawler (AUS),417.0,5486,149.9581730460917,-354.53214693999996,-171.53812738999994,58.0,833,-1.3330648599142947,-115.26984339466124,-90.61213215801564,359.0,4653,151.29123790600602,-354.53214693999996,-171.53812738999994,1,0,152.6243027659203
Q1 Lakeside (AUS),77.0,1444,147.13224672,-143.27190707,-121.07184759,,0,,,,77.0,1444,147.13224672,-143.27190707,-121.07184759,1,0,147.13224672
Dubbo (AUS),240.0,3732,128.75635160584181,-180.90145131,-141.58705676,24.0,336,0.3825416387349456,-45.33340222769999,-1.1960060797599041,216.0,3396,128.3738099671068,-180.90145131,-141.58705676,1,1,127.99126832837186
Hobart (AUS),295.0,3947,78.17152653765459,-252.9232359275371,-107.77827258962404,25.0,360,-38.94359185033238,-102.60633916388949,-80.24386933007276,270.0,3587,117.11511838798693,-252.92323592753718,-107.77827258962404,1,0,156.0587102383193
Muswellbrook (AUS),122.0,1341,115.17304813999998,-77.29555292999999,-66.04270465,,0,,,,122.0,1341,115.17304813999998,-77.29555292999999,-66.04270465,1,0,115.17304813999998
Harlow,816.0,14985,268.1820537764128,-632.3110695599994,-153.25430489000007,170.0,2608,155.78539533986142,-135.12448870106454,-113.99725796040772,646.0,12377,112.39665843655155,-632.3110695599996,-153.25430489000001,1,1,-43.388736903309876
Sandown Park (AUS),414.0,7038,94.26694142240254,-214.6780835303603,-132.146632548033,47.0,864,-14.62026257688682,-89.99826689090696,-77.25297804070841,367.0,6174,108.88720399928945,-214.67808353036037,-132.146632548033,1,0,123.50746657617627
Goulburn (AUS),237.0,3435,138.44797960824684,-156.88046515919956,-125.01600254704721,28.0,404,34.30126561263959,-56.86446261215236,6.475388124926543,209.0,3031,104.14671399560723,-125.97247866304721,-125.01600254704721,1,1,69.84544838296765
Shelbourne Park,38.0,543,140.308092227275,-40.318225355347536,21.915027763069766,8.0,136,41.97337570048998,-17.0,41.97337570048998,30.0,407,98.334716526785,-40.318225355347536,55.837574960771406,1,1,56.36134082629502
Pelaw Grange,177.0,2192,79.36635148169883,-142.97132718,-83.27453024,36.0,527,-13.496406777582088,-84.0,-56.62888472058802,141.0,1665,92.86275825928092,-142.97132718,-83.27453024,1,0,106.359165036863
Cranbourne (AUS),59.0,1040,171.43772151748888,-72.77675553069362,-50.27675553069362,56.0,999,104.26635985517458,-72.77675553069362,-50.27675553069362,3.0,41,67.1713616623143,0.0,67.1713616623143,1,1,-37.09499819286029
Darwin (AUS),314.0,3500,48.749805124956175,-238.28423950000004,-121.31089731,35.0,465,-6.61202690180362,-47.54311950966182,-47.54311950966182,279.0,3035,55.3618320267598,-238.28423950000004,-121.31089731,1,0,61.973858928563416
Mullingar,125.0,1827,66.11396365860249,-118.09798029100259,-109.12740467987335,20.0,300,13.75533821041406,-37.357832871274255,13.755338210414056,105.0,1527,52.35862544818844,-104.1617153817097,-74.9121328,1,1,38.60328723777438
Star Pelaw,76.0,709,49.79067744999999,-95.11585211,-70.85651955,,0,,,,76.0,709,49.79067744999999,-95.11585211,-70.85651955,1,0,49.79067744999999
Bathurst (AUS),67.0,1032,96.10533274561409,-83.4143856650004,-83.4143856650004,24.0,371,54.056588870592265,-39.2609274955465,19.849658562771815,43.0,661,42.048743875021835,-83.41438566500041,-83.41438566500041,1,1,-12.00784499557043
Manukau (NZL),238.0,3753,-29.067735714901033,-201.78391797,-110.1268168908872,21.0,274,-69.24287812617888,-75.75069999728282,-75.24287812617888,217.0,3479,40.17514241127779,-201.78391797,-110.12681689088717,1,0,109.41802053745667
Warrnambool (AUS),408.0,7343,-13.965312512547158,-231.57881338202506,-128.77771437,46.0,810,-50.420673419762025,-61.32911274304351,-54.524590248900296,362.0,6533,36.45536090721484,-231.57881338202503,-128.77771436999998,1,0,86.87603432697686
Wagga (AUS),221.0,3678,64.08214519630235,-157.33112438000003,-130.1223354,19.0,347,38.109405918086836,-91.17715663757743,38.109405918086836,202.0,3331,25.972739278215556,-157.33112438,-130.1223354,1,1,-12.13666663987128
Nowra (AUS),200.0,2812,43.80081380627698,-282.34414061999996,-124.9787096,24.0,322,25.21339458209147,-26.183654688042644,-3.3132522376055746,176.0,2490,18.58741922418548,-282.34414061999996,-124.9787096,1,1,-6.62597535790599
Gunnedah (AUS),229.0,3702,78.31675977380385,-208.6699543134754,-140.93440918597514,20.0,323,63.56848265021311,-46.5,63.56848265021313,209.0,3379,14.748277123590753,-208.6699543134754,-140.93440918597514,1,1,-48.82020552662236
Ballarat (AUS),562.0,9718,-116.9388024270342,-601.0258918945478,-169.31191801478184,64.0,1099,-118.0797272194767,-150.73257566637966,-85.3864451217599,498.0,8619,1.140924792442405,-523.2312258534914,-169.31191801478184,1,0,119.2206520119191
Sheff,616.0,10792,-451.98237586138316,-770.8214414155566,-184.38176211284696,615.0,10791,-450.98237586138316,-770.8214414155566,-184.38176211284696,1.0,1,-1.0,0.0,-1.0,0,0,449.98237586138316
Henlow,387.0,5779,105.55366994262603,-225.92782148903947,-115.68801853527845,186.0,2923,112.41871794820851,-132.08469288536338,-102.63095261221488,201.0,2856,-6.86504800558248,-225.92782148903953,-115.68801853527847,0,1,-119.28376595379099
Hatrick (NZL),166.0,2713,32.51862983938025,-182.59050393000004,-120.20193665000001,16.0,344,58.75357800938032,-48.5,58.75357800938032,150.0,2369,-26.234948170000024,-182.59050393000004,-120.20193665000001,0,1,-84.98852617938034
Rockhampton (AUS),279.0,4504,-141.95688436143854,-324.7632487110012,-152.54534686766777,27.0,509,-107.46580155758367,-143.87795703714636,-143.87795703714636,252.0,3995,-34.49108280385484,-232.45931316999997,-139.96390467,0,0,72.97471875372884
Bendigo (AUS),474.0,8545,-123.53789702212757,-446.62539843000013,-167.83382253000002,58.0,1066,-86.03711046519453,-160.82394929678344,-72.15088011408442,416.0,7479,-37.50078655693295,-446.62539843,-167.83382253,0,0,48.53632390826158
Bundaberg (AUS),118.0,1798,-54.921581878667624,-115.07803457705012,-75.57805482917894,23.0,357,-14.94988663161751,-34.453405193935545,-31.814105624751214,95.0,1441,-39.9716952470501,-115.0780345770501,-75.57805482917892,0,0,-25.02180861543259
Newcastle,1122.0,16591,-484.8723875709852,-833.2954354909853,-159.35271517063663,192.0,3162,-430.1610120009581,-474.4427286910772,-159.35271517063663,930.0,13429,-54.711375570027144,-400.13442349002725,-136.3584559550548,0,0,375.449636430931
Kinsley,813.0,10725,-100.80508527188724,-340.31239073000006,-133.52483152000002,118.0,1677,-44.4292630892431,-140.63873235602753,-124.80834108574163,695.0,9048,-56.37582218264416,-340.31239072999995,-133.52483152,0,0,-11.946559093401056
Maitland (AUS),209.0,2524,-33.12474814725435,-148.6268416607872,-102.26290929000001,24.0,261,45.53447615138353,-19.0,34.29155699738353,185.0,2263,-78.6592242986379,-145.09247415,-102.26290929,0,1,-124.19370045002142
Cambridge (NZL),264.0,3511,7.976853593126947,-287.21062440857133,-100.26817069,33.0,482,88.93940982769824,-57.840731549491196,-11.2684896313379,231.0,3029,-80.96255623457132,-260.01500435054663,-100.26817068999998,0,1,-169.90196606226957
Central Park,957.0,13576,-305.9955234168893,-573.249414266631,-192.64926682000004,200.0,3118,-192.03714396918804,-299.17532483535484,-135.84423466999996,757.0,10458,-113.95837944770116,-420.1554517575806,-192.64926681999998,0,0,78.07876452148687
Sheffield,887.0,13440,-364.7575773587955,-727.6506515912158,-117.64023235999997,153.0,2707,-241.17253069958275,-264.3176320800463,-96.41194804323389,734.0,10733,-123.58504665921282,-512.460698949421,-117.64023236,0,0,117.58748404036993
Bulli (AUS),205.0,2639,-87.48775283770982,-218.06022926996366,-88.77512788,27.0,319,40.741825610850896,-51.714110601754655,-3.103268017904867,178.0,2320,-128.22957844856074,-218.06022926996366,-88.77512788,0,1,-168.97140405941164
The Meadows (AUS),422.0,7312,-205.6890621053575,-373.55503658000003,-136.2998899995157,48.0,798,-75.93467116679588,-151.80504608721725,-136.2998899995157,374.0,6514,-129.7543909385616,-373.55503658,-118.38439469000001,0,0,-53.81971977176573
Horsham (AUS),284.0,4434,-97.46757116983997,-248.23247453891253,-104.17509962,30.0,463,38.30852111230243,-46.585272030679036,22.47676325765567,254.0,3971,-135.77609228214243,-248.2324745389126,-104.17509962,0,1,-174.08461339444486
Doncaster,938.0,13437,-255.66440184301896,-382.69377032639017,-196.60141895585764,153.0,2561,-117.9306887060833,-237.15782505079815,-112.60166101136588,785.0,10876,-137.7337131369357,-276.7409824643844,-196.60141895585767,0,0,-19.803024430852403
Valley,239.0,2855,-139.55772508,-226.52728352,-150.95604092000002,,0,,,,239.0,2855,-139.55772508,-226.52728352,-150.95604092000002,0,0,-139.55772508
Grafton (AUS),304.0,4730,2.8090646235080428,-181.01846634247494,-118.84273553,31.0,551,142.833442337503,-29.45239012454752,85.52538503085592,273.0,4179,-140.0243777139949,-181.0184663424749,-118.84273553,0,1,-282.8578200514979
Dapto (AUS),211.0,3359,-307.2260746791407,-402.13989312914083,-174.08147204415354,29.0,420,-151.94190185157817,-181.94190185157817,-134.8487636501233,182.0,2939,-155.2841728275625,-238.1979912775625,-174.0814720441535,0,0,-3.34227097598432
Addington (NZL),739.0,14723,-348.7664326446082,-641.5282149103555,-152.50186357999993,88.0,1663,-187.26268822777268,-250.20205428125107,-128.31716898219057,651.0,13060,-161.5037444168355,-490.36759085180796,-152.50186358,0,0,25.758943810937183
Ipswich (AUS),716.0,12728,-165.60328681422118,-528.3314828801103,-158.20342384999998,74.0,1238,11.708833741197141,-127.95787821147172,-127.95787821147172,642.0,11490,-177.31212055541837,-528.3314828801105,-158.20342384999998,0,1,-189.0209542966155
Nottingham,878.0,13000,-335.7717498459036,-705.6400952745435,-191.06772757926262,146.0,2214,-154.1783846994055,-260.07200324079565,-131.96525732224393,732.0,10786,-181.59336514649806,-497.4960818753578,-191.0677275792626,0,0,-27.414980447092546
Healesville (AUS),587.0,8615,-272.9710433563396,-425.1622704899999,-150.17950767,79.0,1100,-79.91025796906439,-122.41611598580573,-90.35132957591047,508.0,7515,-193.0607853872752,-425.16227048999986,-150.17950767,0,0,-113.1505274182108
Northam (AUS),151.0,2636,-204.12927557226521,-307.45231063000006,-149.26657692,,0,,,,151.0,2636,-204.12927557226521,-307.45231063000006,-149.26657692,0,0,-204.12927557226521
Warragul (AUS),521.0,9491,-357.1286027177184,-427.00495254294873,-186.71907287115755,66.0,1256,-116.84959158830341,-234.633567779781,-186.71907287115755,455.0,8235,-240.27901112941495,-362.2724610800001,-124.41344026000002,0,0,-123.42941954111154
Cannington (AUS),608.0,11450,-406.67501111383547,-813.0124181812866,-158.11604577242778,83.0,1536,-154.2743465567545,-219.93117860420597,-125.83968498595122,525.0,9914,-252.40066455708097,-579.3058094559002,-158.1160457724277,0,0,-98.12631800032648
